price,sku,asin,reviews,product_link,image_link,uuid
729,Apple iPhone 13 (128 GB) - Green,B09V43FPYG,"1,526",https://www.amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A09483441E08EIM75S9KP&url=%2FApple-iPhone-13-128-GB%2Fdp%2FB09V43FPYG%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2MPQQM1S19HFJ%26keywords%3DiPhone%2B13%26qid%3D1657021739%26refinements%3Dp_89%253AApple%26rnid%3D1632651031%26s%3Delectronics%26sprefix%3D%252Caps%252C102%26sr%3D1-1-spons%26psc%3D1&qualifier=1657021739&id=393844671160640&widgetName=sp_atf,https://m.media-amazon.com/images/I/61-r9zOKBCL._AC_UY218_.jpg,5d376a46-3469-4f8d-87f9-ee155d6112aa
949,Apple iPhone 13 Pro (128GB) - Graphite,B09G98SWCW,758,https://www.amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A03543222TF7I0J6G2LE8&url=%2FApple-iPhone-13-Pro-128GB%2Fdp%2FB09G98SWCW%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2MPQQM1S19HFJ%26keywords%3DiPhone%2B13%26qid%3D1657021739%26refinements%3Dp_89%253AApple%26rnid%3D1632651031%26s%3Delectronics%26sprefix%3D%252Caps%252C102%26sr%3D1-2-spons%26psc%3D1&qualifier=1657021739&id=393844671160640&widgetName=sp_atf,https://m.media-amazon.com/images/I/61HnuJc8WHL._AC_UY218_.jpg,f5513720-7d93-4481-866a-a58405c8ec02
729,Apple iPhone 13 (128GB) - Midnight,B09G95MCDT,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128GB-Midnight/dp/B09G95MCDT/ref=sr_1_3?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-3,https://m.media-amazon.com/images/I/616dWFinzLL._AC_UY218_.jpg,f602525e-2e3d-4e95-a6d9-64c0019557c1
729,Apple iPhone 13 (128GB) - Blue,B09G9HQHRH,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128GB-Blue/dp/B09G9HQHRH/ref=sr_1_4?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-4,https://m.media-amazon.com/images/I/71dpTXFz+dL._AC_UY218_.jpg,d5052402-d4ed-4b4e-9054-2b7f7bd3fe62
729,Apple iPhone 13 (128 GB) - Green,B09V43FPYG,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128-GB/dp/B09V43FPYG/ref=sr_1_5?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-5,https://m.media-amazon.com/images/I/61-r9zOKBCL._AC_UY218_.jpg,3b15498d-4f9e-44af-9fdd-8ce140fb992c
949,Apple iPhone 13 Pro (128GB) - Graphite,B09G98SWCW,758,https://www.amazon.co.uk/Apple-iPhone-13-Pro-128GB/dp/B09G98SWCW/ref=sr_1_6?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-6,https://m.media-amazon.com/images/I/61HnuJc8WHL._AC_UY218_.jpg,869cdf34-9adb-4f69-88a7-686e4bb14c79
719,Apple iPhone 13 (128GB) - Pink,B09G99YSFG,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128GB-Pink/dp/B09G99YSFG/ref=sr_1_7?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-7,https://m.media-amazon.com/images/I/61CGRxr55fL._AC_UY218_.jpg,d77a6102-95cc-46a1-8833-4bd32bb9535f
629,Apple iPhone 13 mini (128 GB) - Green,B09V4L7JD4,701,https://www.amazon.co.uk/Apple-iPhone-13-mini-128/dp/B09V4L7JD4/ref=sr_1_8?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-8,https://m.media-amazon.com/images/I/61cMQeVEGKL._AC_UY218_.jpg,1d831eac-1b78-432f-a7cb-498033a80ca1
819,Apple iPhone 13 (256GB) - Midnight,B09G9JPCJN,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-256GB-Midnight/dp/B09G9JPCJN/ref=sr_1_9?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-9,https://m.media-amazon.com/images/I/616dWFinzLL._AC_UY218_.jpg,6420dc85-9c31-4fe9-8e3e-e9805503b518
629,Apple iPhone 13 mini (128GB) - Starlight,B09G96QDHX,701,https://www.amazon.co.uk/Apple-iPhone-mini-128GB-Starlight/dp/B09G96QDHX/ref=sr_1_10?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-10,https://m.media-amazon.com/images/I/61neib4uMCL._AC_UY218_.jpg,78548554-7de4-4d0e-a062-57bff98eac1a
